name_old,name_new,diet_old,diet_new,period_yearsago,period,years_ago,millions_years,lived_in,latitude,longitude,type_old,type_new,length,taxonomy,named_by,species_old,species_new,link
segisaurus,Segisaurus,carnivorous,Carnivorous,Mid Jurassic 195-180 million years ago,Mid Jurassic ,195-180 million years ago,195,USA,37.0902,-95.7129,small theropod,Small Theropod,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,Camp (1936),halli,Halli,https://www.nhm.ac.uk/discover/dino-directory/segisaurus.html
podokesaurus,Podokesaurus,carnivorous,Carnivorous,Mid Jurassic 195-180 million years ago,Mid Jurassic ,195-180 million years ago,195,USA,37.0902,-95.7129,small theropod,Small Theropod,0.9m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,Talbot (1911),holyokensis,Holyokensis,https://www.nhm.ac.uk/discover/dino-directory/podokesaurus.html
emausaurus,Emausaurus,herbivorous,Herbivorous,Mid Jurassic 190-180 million years ago,Mid Jurassic ,190-180 million years ago,190,Germany,51.1657,10.4515,armoured dinosaur,Armoured Dinosaur,2.0m,Dinosauria Ornithischia Genasauria Thyreophora,Haubold (1991),ernsti,Ernsti,https://www.nhm.ac.uk/discover/dino-directory/emausaurus.html
yuanmousaurus,Yuanmousaurus,herbivorous,Herbivorous,Mid Jurassic 180-159 million years ago,Mid Jurassic ,180-159 million years ago,180,China,35.8617,104.1954,sauropod,Sauropod,17.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Lü Li Ji Wang Zhang and Dong (2006),jiangyiensis,Jiangyiensis,https://www.nhm.ac.uk/discover/dino-directory/yuanmousaurus.html
monolophosaurus,Monolophosaurus,carnivorous,Carnivorous,Mid Jurassic 180-159 million years ago,Mid Jurassic ,180-159 million years ago,180,China,35.8617,104.1954,large theropod,Large Theropod,5.7m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,Zhao and Currie (1993),jiangi,Jiangi,https://www.nhm.ac.uk/discover/dino-directory/monolophosaurus.html
bellusaurus,Bellusaurus,herbivorous,Herbivorous,Mid Jurassic 180-159 million years ago,Mid Jurassic ,180-159 million years ago,180,China,35.8617,104.1954,sauropod,Sauropod,5.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,Dong and Azuma (1990),sui,Sui,https://www.nhm.ac.uk/discover/dino-directory/bellusaurus.html
rhoetosaurus,Rhoetosaurus,herbivorous,Herbivorous,Mid Jurassic 177-169 million years ago,Mid Jurassic ,177-169 million years ago,177,Australia,-25.2744,133.7741,sauropod,Sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda,Longman (1926),brownei,Brownei,https://www.nhm.ac.uk/discover/dino-directory/rhoetosaurus.html
amygdalodon,Amygdalodon,herbivorous,Herbivorous,Mid Jurassic 177-169 million years ago,Mid Jurassic ,177-169 million years ago,177,Argentina,-34.603722,-58.381592,sauropod,Sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Cabrera (1947),patagonicus,Patagonicus,https://www.nhm.ac.uk/discover/dino-directory/amygdalodon.html
cetiosauriscus,Cetiosauriscus,herbivorous,Herbivorous,Mid Jurassic 175-160 million years ago,Mid Jurassic ,175-160 million years ago,175,United Kingdom,55.3781,3.436,sauropod,Sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea,von Huene (1927),stewarti,Stewarti,https://www.nhm.ac.uk/discover/dino-directory/cetiosauriscus.html
cetiosaurus,Cetiosaurus,herbivorous,Herbivorous,Mid Jurassic 170-160 million years ago,Mid Jurassic ,170-160 million years ago,170,United Kingdom,55.3781,3.436,sauropod,Sauropod,18.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,Phillips (1871),oxoniensis,Oxoniensis,https://www.nhm.ac.uk/discover/dino-directory/cetiosaurus.html
